Algorithm,Best X,Best Y,Best Fitness
Genetic Algorithm,0.0019495666086607594,-0.00020233375148222005,0.0007621632053407268
Differential Evolution,4.5351131969625236e-10,-2.224960373574841e-09,0.0
Particle Swarm Optimization,8.60995959896477e-09,-1.588876249169937e-08,6.394884621840902e-14
